Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000311388117943606,0.0201573224730091,0.085299472946699,0,0,0,7.35718055319755,0.0246775561676913,2.54918167209979E-07,2.15787427927021E-05,0.0305950136713039,-1.80091664078602E-07,0.0207592714045593,0,0,0,0,0,0,package://alexbotmini2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alexbotmini2/meshes/base_link.STL,,fsa80_29e-1;fsa80_29e-2;crotch-1;upperbody-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rightlink1,0.0167755940950418,-0.0212415354979873,-0.000172073733663056,0,0,0,0.523827457014568,0.00101779637774428,0.000130367646497896,1.03512039721392E-06,0.00067717587675433,-1.36330714602316E-06,0.000789264166468258,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink1.STL,,thigh1-2;fsa80_29e_output-2;fsa60_43e-3,坐标系r1,基准轴1,rightjoint1,revolute,0.091,0.02325,-0.0998,0,0,0,base_link,1,0,0,96,100,-1,1,,,,,,,,
rightlink2,0.00085874,0.014972,-0.071981,0,0,0,0.95964,0.0034544,-5.9071E-06,2.4951E-05,0.0034199,0.00052407,0.0012852,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink2.STL,,thigh2-2;fsa60_43e-4;fsa60_43e_output-3,坐标系r2,基准轴2,rightjoint2,revolute,0.052,-0.081599,-0.00047085,0,0,0,rightlink1,0,1,0,51,59,-1,1,,,,,,,,
rightlink3,0.00860422716293233,-0.000280475945752909,-0.048747554158768,0,0,0,0.81499254145314,0.00260705796968271,-3.97343793009279E-05,-8.48169546695807E-06,0.00223619726742382,1.18609719859346E-05,0.00120600722749322,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink3.STL,,knee-2;fsa60_43e_output-4;fsa80_29e (2)-2/80-29E0001_ASM.step-1/80-000.step-1;fsa80_29e (2)-2/80-29E0011_ASM.step-1/80-29E0012.step-1;fsa80_29e (2)-2/80-29E0001_ASM.step-1/80-0006.step-1;fsa80_29e (2)-2/80-29E0001_ASM.step-1/80-100-130PCB_PCB0_ASM.step-1/FOUR4B245220HFPI_ASM.step-1/FOUR4B245220HFPI_6.step-1;fsa80_29e (2)-2/80-29E0001_ASM.step-1/80-000-0.step-1,坐标系r3,基准轴3,rightjoint3,revolute,0.001813,0.079368,-0.15792,0,0,0,rightlink2,0,0,1,51,59,-1,1,,,,,,,,
rightlink4,-0.017015,-0.0064542,-0.11979,0,0,0,1.192,0.0089616,-7.0893E-05,-0.00074007,0.0083536,-0.00012444,0.0015232,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink4.STL,,fsa80_29e_output_long-2;fsa45_30e-4;fsa45_30e-3;fsa45_30_output-3;fsa45_30_output-4;calf1 - 副本-1,坐标系r4,基准轴4,rightjoint4,revolute,0.028485,-0.0014832,-0.1417,0,0,0,rightlink3,1,0,0,96,100,-1,1,,,,,,,,
rightlink5,-1.48965478286023E-08,-1.09620757055007E-08,1.11935716251566E-09,0,0,0,0.0173110583311115,1.28548557487684E-06,5.35399115801573E-08,-5.53872156214052E-09,1.80766794404536E-06,-2.85292842298958E-08,1.53191416375251E-06,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink5.STL,,"右小腿组件_copy-1/GR1-07-2-030,踝十字轴_copy-1",坐标系r5,基准轴5,rightjoint5,revolute,-0.02312,-0.010345,-0.28903,0,0,0,rightlink4,0,1,0,30,130,-1,1,,,,,,,,
rightlink6,0.0025618,0.019132,-0.033838,0,0,0,0.4352,0.0014423,-0.00012003,1.2849E-05,0.0002655,0.00015318,0.0016224,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink6.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://alexbotmini2/meshes/rightlink6.STL,,"右小腿组件_copy-1/GR1-07-2-034-G,脚板十字座_copy-1;右小腿组件_copy-1/GR1-07-2-033,关节延长轴_copy-2;右小腿组件_copy-1/SC-BEAR-628-8,深沟球轴承628-8_copy-7;右小腿组件_copy-1/GR1-07-2-049-G,脚板转接件_copy-1;右小腿组件_copy-1/GR1-07-2-017-G,脚板连杆座_copy-3;右小腿组件_copy-1/SC-BEAR-6802-ZZ,深沟球轴承6802_copy-4;右小腿组件_copy-1/GR1-07-2-033,关节延长轴_copy-1;右小腿组件_copy-1/SC-BEAR-628-8,深沟球轴承628-8_copy-8;右小腿组件_copy-1/SC-BEAR-628-8,深沟球轴承628-8_copy-5;右小腿组件_copy-1/SC-BEAR-628-8,深沟球轴承628-8_copy-6;右小腿组件_copy-1/GR1-07-2-059-G,脚板连杆座-1_copy-1;右小腿组件_copy-1/SC-BEAR-6802-ZZ,深沟球轴承6802_copy-3;右小腿组件_copy-1/GR1-06-2-048,右脚包胶足撑_copy-1/镜向硅胶脚0418_copy-1",坐标系r5,基准轴6,rightjoint6,revolute,0,0,0,0,0,0,rightlink5,-1,0,0,30,130,-1,1,,,,,,,,
leftlink1,-0.0168974992642599,-0.0212399679413113,0.000309957378181569,0,0,0,0.523827453897711,0.00101801800516087,-0.000130559987564589,2.3185700014052E-06,0.000677196592977303,2.0546182265204E-06,0.000789021843936907,0,0,0,0,0,0,package://alexbotmini2/meshes/leftlink1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alexbotmini2/meshes/leftlink1.STL,,thigh1-1;fsa80_29e_output-3;fsa60_43e-1,坐标系l1,基准轴7,leftjoint1,revolute,-0.091,0.02325,-0.0998,0,0,0,base_link,-1,0,0,96,100,-1,1,,,,,,,,
leftlink2,-0.000419251183315983,0.0132847353003804,-0.0723095172301875,0,0,0,0.959639548121109,0.00345604798210226,2.79173050721232E-06,-1.2691059379192E-05,0.00344146529024522,0.000474454878068968,0.00126209321371257,0,0,0,0,0,0,package://alexbotmini2/meshes/leftlink2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://alexbotmini2/meshes/leftlink2.STL,,thigh2-1;fsa60_43e-2;fsa60_43e_output-1,坐标系l2,基准轴8,leftjoint2,revolute,-0.052,-0.081595,0.00093349,0,0,0,leftlink1,0,1,0,51,59,-1,1,,,,,,,,
leftlink3,-0.00834051361021043,-0.00119121604748407,-0.048931883588458,0,0,0,0.816268978197084,0.00261106322278818,9.33716051385581E-06,1.61715416107044E-05,0.00223604176669555,-1.55446888465667E-05,0.00120243169725821,0,0,0,0,0,0,package://alexbotmini2/meshes/leftlink3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://alexbotmini2/meshes/leftlink3.STL,,knee-1;fsa60_43e_output-2;fsa80_29e (2)-1/80-29E0011_ASM.step-1/61802-2Z00.step-1;fsa80_29e (2)-1/80-29E0011_ASM.step-1/80-JIAOCHAGUNZI-70-86_1_ASM_1_ASM.step-1/80-JIAOCHAGUNZI-70-86_1_3_1.step-1;fsa80_29e (2)-1/80-29E0011_ASM.step-1/80-JIAOCHAGUNZI-70-86_1_ASM_1_ASM.step-1/80-JIAOCHAGUNZI-70-86_1_2_1.step-1;fsa80_29e (2)-1/80-29E0001_ASM.step-1/80-000.step-1;fsa80_29e (2)-1/80-29E0011_ASM.step-1/80-29E0012.step-1;fsa80_29e (2)-1/80-29E0001_ASM.step-1/80-0006.step-1;fsa80_29e (2)-1/80-29E0001_ASM.step-1/80-000-0.step-1;fsa80_29e (2)-1/80-29E0001_ASM.step-1/80-100-130PCB_PCB0_ASM.step-1/FOUR4B245220HFPI_ASM.step-1/FOUR4B245220HFPI_6.step-1,坐标系l3,基准轴9,leftjoint3,revolute,-0.00092023,0.075722,-0.1597,0,0,0,leftlink2,0,0,1,51,59,-1,1,,,,,,,,
